location_name,latitude,longitude
"Moradabad City, Uttar Pradesh",28.8331428,78.7652781
"Mathura City, Uttar Pradesh",27.4849744,77.685131
"Udaipur City, Rajasthan",24.5873872,73.6915427
"Kota City, Rajasthan",25.2109082,75.8213499
"Jodhpur City, Rajasthan",26.381001,73.5467
"Ajmer City, Rajasthan",26.5855952,74.8609106
"Bikaner City, Rajasthan",28.0134638,73.2972264
"Bhopal City, Madhya Pradesh",23.177649,77.454497
"Rajkot City, Gujarat",22.3003793,70.8086015
"Bhavnagar City, Gujarat",21.7727986,72.1548699
"Jamnagar City, Gujarat",22.432788,70.0559897
"Gandhinagar City, Gujarat",23.0704348,72.5243009
"Asansol City, West Bengal",23.6930343,86.9531088
"Siliguri City, West Bengal",26.7096309,88.4286167
"Durgapur City, West Bengal",23.5292384,87.351587
"Alappuzha Town, Kerala",9.2595192,76.5437808
"Kollam City, Kerala",8.8869046,76.5904652
"Kannur City, Kerala",11.8719881,75.379077
"Palakkad City, Kerala",10.8001,76.639099
"Warangal City, Telangana",17.9745069,79.6113623
"Karimnagar City, Telangana",18.458233,79.136705
"Nellore City, Andhra Pradesh",14.413352,79.962271
"Rajahmundry City, Andhra Pradesh",17.0376947,81.7778132
"Kakinada City, Andhra Pradesh",16.9673975,82.2333385
"Belgaum City, Karnataka",15.8771478,74.5171905
"Gulbarga City, Karnataka",17.33965,76.8371479
"Davangere City, Karnataka",14.3682977,75.9527929
"Bellary City, Karnataka",15.1388817,76.9768644
"Ludhiana City, Punjab",30.8519434,75.8598782
"Jalandhar City, Punjab",31.3478513,75.6032045
"Bathinda City, Punjab",30.2129218,74.9331732
"Hisar City, Haryana",28.8994857,76.5532936
"Karnal City, Haryana",29.6531038,77.0078492
"Panipat City, Haryana",29.4283503,76.9533079
"Berhampur City, Odisha",20.4032641,86.2026906
"Koraput City, Odisha",18.8131994,82.7126008
"Sambalpur City, Odisha",21.4594222,83.9743315
"Gaya City, Bihar",24.7924837,85.0077092
"Muzaffarpur City, Bihar",26.1227209,85.3786314
"Dhanbad City, Jharkhand",23.7940427,86.4261706
"Jamshedpur City, Jharkhand",22.843639,86.212528
"Shillong City, Meghalaya",25.5762291,91.8828636
"Imphal City, Manipur",24.8021535,93.938618
"Aizawl City, Mizoram",23.7243713,92.7186455
"Kohima City, Nagaland",25.6749234,94.1105241
"Agartala City, Tripura",23.8338203,91.2824216
