location_name,latitude,longitude,total_pois,pois_fetched,ACCESS_GATEWAY,ADMINISTRATIVE_DIVISION,ADVENTURE_SPORTS_VENUE,AGRICULTURE,AIRPORT,AMUSEMENT_PARK,AUTOMOTIVE_DEALER,BANK,BEACH,BUILDING_POINT,BUSINESS_PARK,CAFE_PUB,CAMPING_GROUND,CAR_WASH,CASH_DISPENSER,CASINO,CINEMA,CITY_CENTER,CLUB_ASSOCIATION,COLLEGE_UNIVERSITY,COMMERCIAL_BUILDING,COMMUNITY_CENTER,COMPANY,COURTHOUSE,CULTURAL_CENTER,DENTIST,DEPARTMENT_STORE,DOCTOR,ELECTRIC_VEHICLE_STATION,EMBASSY,EMERGENCY_MEDICAL_SERVICE,ENTERTAINMENT,EXCHANGE,EXHIBITION_CONVENTION_CENTER,FERRY_TERMINAL,FIRE_STATION_BRIGADE,FRONTIER_CROSSING,FUEL_FACILITIES,GEOGRAPHIC_FEATURE,GOLF_COURSE,GOVERNMENT_OFFICE,HEALTH_CARE_SERVICE,HELIPAD_HELICOPTER_LANDING,HOLIDAY_RENTAL,HOSPITAL_POLYCLINIC,HOTEL_MOTEL,ICE_SKATING_RINK,IMPORTANT_TOURIST_ATTRACTION,INDUSTRIAL_BUILDING,LEISURE_CENTER,LIBRARY,MANUFACTURING_FACILITY,MARINA,MARKET,MEDIA_FACILITY,MILITARY_INSTALLATION,MOTORING_ORGANIZATION_OFFICE,MOUNTAIN_PASS,MUSEUM,NATIVE_RESERVATION,NIGHTLIFE,NON_GOVERNMENTAL_ORGANIZATION,OPEN_PARKING_AREA,OTHER,PARKING_GARAGE,PARK_RECREATION_AREA,PETROL_STATION,PHARMACY,PLACE_OF_WORSHIP,POLICE_STATION,PORT_WAREHOUSE_FACILITY,POST_OFFICE,PRIMARY_RESOURCE_UTILITY,PRISON_CORRECTIONAL_FACILITY,PUBLIC_AMENITY,PUBLIC_TRANSPORT_STOP,RAILWAY_STATION,RENT_A_CAR_FACILITY,RENT_A_CAR_PARKING,REPAIR_FACILITY,RESEARCH_FACILITY,RESIDENTIAL_ACCOMMODATION,RESTAURANT,RESTAURANT_AREA,REST_AREA,SCENIC_PANORAMIC_VIEW,SCHOOL,SHOP,SHOPPING_CENTER,SPORTS_CENTER,STADIUM,SWIMMING_POOL,TENNIS_COURT,THEATER,TOURIST_INFORMATION_OFFICE,TRAFFIC_LIGHT,TRAFFIC_SERVICE_CENTER,TRAFFIC_SIGN,TRAIL_SYSTEM,TRANSPORT_AUTHORITY_VEHICLE_REGISTRATION,TRUCK_STOP,VETERINARIAN,WATER_SPORT,WEIGH_STATION,WELFARE_ORGANIZATION,WINERY,ZOOS_ARBORETA_BOTANICAL_GARDEN,raw_classifications,unique_classifications,non_zero_categories
"Civil Lines, Jaipur, Rajasthan",26.9069197,75.7830344,100,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,21,4,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POST_OFFICE, SCHOOL, DOCTOR, COMPANY, PHARMACY, NIGHTLIFE, PARK_RECREATION_AREA, GOVERNMENT_OFFICE, HOTEL_MOTEL, COLLEGE_UNIVERSITY, LEISURE_CENTER, HOLIDAY_RENTAL, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, HOSPITAL_POLYCLINIC, GEOGRAPHIC_FEATURE, RESTAURANT, CAFE_PUB, DENTIST, SHOP",21,21
"Aliganj, Lucknow, Uttar Pradesh",26.890281,80.9495987,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,13,4,0,0,0,3,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RESTAURANT, CAFE_PUB, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, SCHOOL, PRIMARY_RESOURCE_UTILITY, SHOP, GOVERNMENT_OFFICE, HOTEL_MOTEL, DOCTOR, PUBLIC_AMENITY, COMPANY, HOSPITAL_POLYCLINIC, PHARMACY",15,15
"Gomti Nagar, Lucknow, Uttar Pradesh",26.8513093,81.0124214,100,100,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,9,0,0,0,0,0,0,0,0,0,0,1,0,16,10,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HEALTH_CARE_SERVICE, RESTAURANT, CAFE_PUB, BANK, RESIDENTIAL_ACCOMMODATION, REPAIR_FACILITY, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SCHOOL, GEOGRAPHIC_FEATURE, DENTIST, SHOP, GOVERNMENT_OFFICE, HOTEL_MOTEL, DOCTOR, PHARMACY",16,16
"Vijay Nagar, Indore, Madhya Pradesh",22.7630269,75.8804978,100,100,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,8,13,0,0,0,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BANK, SCHOOL, DOCTOR, COMPANY, PHARMACY, PARK_RECREATION_AREA, GOVERNMENT_OFFICE, HOTEL_MOTEL, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, COMMERCIAL_BUILDING, GEOGRAPHIC_FEATURE, CAFE_PUB, RESTAURANT, REPAIR_FACILITY, ELECTRIC_VEHICLE_STATION, AUTOMOTIVE_DEALER, SHOP",19,19
"Sector 17, Chandigarh",30.7425426,76.7859351,100,100,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,1,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"NIGHTLIFE, REPAIR_FACILITY, RESTAURANT, CAFE_PUB, BANK, SHOPPING_CENTER, PLACE_OF_WORSHIP, THEATER, SCHOOL, SHOP, CINEMA, GOVERNMENT_OFFICE, HOTEL_MOTEL, COMPANY, PUBLIC_AMENITY, OPEN_PARKING_AREA, HOSPITAL_POLYCLINIC",17,17
"MI Road, Jaipur, Rajasthan",26.9171019,75.7992711,100,100,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,5,0,28,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NIGHTLIFE, ENTERTAINMENT, GEOGRAPHIC_FEATURE, RESTAURANT, CAFE_PUB, BANK, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, AUTOMOTIVE_DEALER, SHOP, COMMERCIAL_BUILDING, MARKET, HOTEL_MOTEL, COMPANY, DOCTOR, EXCHANGE",16,16
"Station Road, Surat, Gujarat",21.1984585,72.8351411,100,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RESTAURANT, BANK, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, DENTIST, SHOP, HOTEL_MOTEL, DOCTOR, HOSPITAL_POLYCLINIC, PHARMACY",10,10
"Frazer Town, Bangalore, Karnataka",13.0022108,77.621035,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,58,7,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, RESTAURANT, RESIDENTIAL_ACCOMMODATION, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SCHOOL, DENTIST, SHOP, COMMERCIAL_BUILDING, OPEN_PARKING_AREA, HOTEL_MOTEL, COMPANY, EXHIBITION_CONVENTION_CENTER, HOSPITAL_POLYCLINIC, COLLEGE_UNIVERSITY",15,15
"Begumpet, Hyderabad, Telangana",17.4449415,78.4571867,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,35,3,0,0,0,6,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IMPORTANT_TOURIST_ATTRACTION, RESTAURANT, CAFE_PUB, RESIDENTIAL_ACCOMMODATION, PARKING_GARAGE, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, SHOP, COMPANY, PUBLIC_AMENITY, DOCTOR, PHARMACY, COLLEGE_UNIVERSITY, EXHIBITION_CONVENTION_CENTER",16,16
"Powai, Mumbai, Maharashtra",19.1238155,72.9126101,100,100,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,18,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NIGHTLIFE, HEALTH_CARE_SERVICE, RESTAURANT, BANK, SCHOOL, SPORTS_CENTER, AUTOMOTIVE_DEALER, PRIMARY_RESOURCE_UTILITY, AMUSEMENT_PARK, SHOP, COMMERCIAL_BUILDING, DENTIST, COMPANY, DOCTOR, HOSPITAL_POLYCLINIC, LEISURE_CENTER",16,16
